class,text
Camera, Being only the second digital camera I have ever used  I m going to say that HP315 is a pretty nice little camera  It is best made for whoever wants to take some nice quality pictures and is willing to take a step forward with the technology  It is relatively small  smaller than the SLR models and is not heavy at all  The photo quality is great  much better other similar cameras  that are in the same price range It has 2 1 megapixels and you can choose if you want to shoot in regular  fine  or superfine mode  Naturally  superfine requires more memory on the 8 MB card  only allowing you to take a total of 10 superfine photos before you download them onto your computer  In regular mode you can take up to 50  There is a 1 8 inch color screen on the back of the camera  allowing you to view and select photos for deletion or downloading  To take pictures you can either just look through the viewfinder or turn on the LCD and look through that  Using the LCD does however drain the battery rather quickly  so I try to avoid it unless I want to view already taken pictures  The HP315 does have a 2 5 digital zoom  However  to take pictures using the zoom is a bit difficult  You have to turn on the LCD to do this  draining battery  However  it does help to produce beautiful shots  Overall  I would say that this is a great little camera  It has a nice weight  is easy to operate and has handy little rubber grips on it so that you don t drop it  If you have the money  you should look into it br br  
Camera,  IMAGE SIZE b  3 2 mega pixels  Viewed on my PC  the images look great and are huge  I don t print photos  so I cannot comment on the print quality b ZOOM b  10x optical 4x digital   Optical zoom is the most important factor here i  Most digi cams have only a 3x or 4x optical zoom  I specifically wanted a longer zoom so I could use the camera for sports   outdoors photography  Digital zoom doesn t matter at all  since I m not printing directly from the camera  I can always use photo editing freeware on my PC to digitally zoom  I haven t turned the digital zoom feature back on since I tested it useless to me b FOCUS b  Rapid auto focus or manual focus  The Rapid AF is very fast and has kept my images perfectly focused so far  I m very impressed with the manual focus feature  easy to activate  easy to use  and a rare feature in most cameras these days   Manual focus will only be useful for certain photography  so if you want a point and shoot  this is a useless feature i  My girlfriend shoots art photos  so she loves the manual focus b FLASH b  Auto flash  auto flash w  red eye reduct  manual flash    fill flash  The fill flash setting is used for dark photographs where you want to see background details  Fill flash has a long shutter time  so your subject needs to stay still   you need a tripod to use it   Of course  you can turn flash off altogether  There is also an accessory shoe on this camera for using other flashes  The built in flash is powerful enough to illuminate objects 20 feet or so away b MOVIE RECORDING b  Record up to 640x480 movies at either 15 or 30 frames per second  30 fps is great for a digital camera  However  recording at 640x480 at 30 fps takes about 1 MB per second of movie time   If you want to make digital movies  get a digital movie camera  I don t care to use my still cam for movies  so this feature didn t matter to me at all i  I did try this feature just for S G  when played back on the camera LCD screen  audio was slightly out of sync w  video  Haven t tried it on my PC yet b MACRO MODE b  Super Macro mode allows you to take photos of objects as close as 4 cm from the camera lens b FAST STARTUP b  This camera will startup uber fast  Ready to shoot a photo in less than 2 seconds from when you touch the power button  No title screens  no brand name shots  no menu screen at startup   This is one of my favorite features  Every digital camera I ve ever used takes 10 seconds or more to start up  sometimes up to 20 seconds  I ve often missed photo opportunities because of long startup times i b VIEWFINDER b  There is no real viewfinder for this camera  You see exactly what is going to be recorded  with photo information overlaying the view  The viewfinder is the same view as the LCD screen  reflected to the eyepiece using a mechanical mirror  The mirror thing was a good idea  saves money on separate screens  But the camera has to be on to frame a potential subject  And the extra mechanics are more likely to get damaged than a passive viewfinder b NOTABLE FEATURES b  Custom or auto white balance control  dark noise reduction  creative color modes  natural color  vivid color  B W  and sepia  programmable flash button  automatic monitor amplification  
Auto, We like to keep our cars quite a long time  which is not hard  since they have been Volkswagens  and during the last couple of years we have them  we go and test drive  everything  that appeals to us at all  so that we are educated when we do finally purchase  We are not blindly loyal to VW  but they just seem to have the most car for the money most of the time  The  98 VW Passat was redesigned for that year  and it was just so refreshingly new  We liked it from the first test drive  It felt heavier than the Jettas and Golfs that we were used to  and it has the 15  wheels  which means a smoother ride than the 14  or smaller wheels  This was the first car this large that we would be buying  There is so much leg room and head room  and the seats are the most comfortable that VW has offered  Once we drove the Passat  we were sold  We bought the 4 cylinder standard transmission model with the heated leather seats  We had never had heated seats  and I had thought  Boy  what a gimmick  Well  unless the weather is quite warm  those heated seats are just great  Even of a moderately cool day  it feels good to get in and warm up the seats  even if we turn them off soon  This item just makes a world of difference in the comfort level  and people who have ridden with us have been very impressed Our Passat is a light aquamarine called Elegant Green  and it does turn heads  It is a beautiful  soft shade I also rate the back seat favorably  It is roomy and comfortable  with the head room and leg room for adults to ride in back  and we have had a number of people say that it is the most comfortable and roomy back seat they have ever been in  I think many manufacturers look at the back seat as where the kids and maybe the dog rides  so how nice does it have to be  Volkswagen makes every seat in the Passat comfortable for  adults Unlike  it seems  most people  I don t car for a sun roof or moon roof  so I cannot comment on VW s  since our Passat does not have one We have had very little trouble with this car  In fact  I don t recall any repairs  We just got the regular maintenance  We did have the front brakes relined  which surprised us a little  since we normally go a long time between brake jobs  but then  this car is heavier than our previous ones  Nothing has actually broken on the car  Reliability is the most important thing to us  and I think we got this with the Passat The main negative for me is the air conditioning  We live in the West Virginia northern panhandle  where we certainly don t have the kind of hot weather they get in Miami or Phoenix  but I find the air conditioning to be just adequate  I don t want the inside of the car to be frigid anyway  and with only moderately hot summer weather  the air conditioner is ok  it is adequate  It just seems such a shame to me that they could build this wonderful car with the posh seats and beautiful styling  and then put in an air conditioner that is just not in the same league with the rest of the car  Surely the ones they put on the market to sell in the South have different and better systems in them  This a c is just rather disappointing Like a couple of other posters here  I would like more cup holders  and maybe in metal rather than plastic in the front  where we use them a lot I would recommend this car to anyone who wants a smooth ride with ease of handling in a car whose watchword is  reliability  I would not recommend it to people who want really frigid air conditioning  For those buying in hot climates  I would say  Take it for a long ride in the heat of the day and test that a c out before you buy  
Auto, I am renting Dodge Stratus because one of our vehicles is in the shop  I have to say that I m completely torn on whether or not I like it  The ES that I m driving does have a very sporty appearance and I like the white gauges  The only thing I don t like about the outside appearance is the hubcaps  They look terrible  I haven t done a lot of homework on this car so I don t know whether or not the car even comes with aluminum wheels or what the wheels look like if they do Inside the car  I don t feel like it s really that comfortable  I absolutely hate the tilt wheel mechanism  I think it s cheap and a pain  The seats are very weird feeling  I don t know what to think of them really  They have good lower  and upper back support  but somewhere in the middle there isn t any  What s that about The legroom is very tight  I m 6 0 quot  and don t have many problems with cars but the Stratus is small  I commute 120 miles a day and I m really not comfortable  I ve been in worse cars   my wife s old Geo Storm  but not many  It s pretty cramped I don t like the controls for the stereo because they are little hard to reach  especially when you have to keep your eyes on the road  You have to eject the tape in order to listen to the radio and learning how to set the presets for FM2 takes awhile to figure out  The dome light turns off when you shut the door not when you turn the key The trunk looks like it s pretty big  The door opens nice and wide but you have to do all the work  If you pop the trunk from inside  the only thing that happens is the latch releases  You have to reach up over the expanse of the trunk opening to open and close it  I was being a little lazy today and only opened the trunk halfway  What resulted is that my wife ended up smacking her head on the door Also  the button to release the rear seat back is a little out of the way  You have to stretch across to the middle in order to get this to work  Come on Daimler Chrysler  is it too much to ask for two buttons  I mean this car is above  15K  Spend a little The actual drive experience of the car is pretty good  It s got plenty of power  The only thing I don t like about this is that whenever I set the cruise control  the car tends to want to jump up a couple miles per hour  I ll set it for 65 and the car will cruise at 67 or 68  It seems to be a little high maintenance  Also  to cancel the cruise control you have to practically slam on the brakes  Most cars you just lightly tap but not the Stratus I know that it has a cancel button on the steering wheel  but who remembers that  I have driven no other car by any other manufacturer that has that feature  I usually end up trying to turn cruise on using that button anyway I m not at all impressed with the Air Conditioning  It takes forever to cool the car down  Our dog  Grimm  the Great Dane  rides to and from work with us and he has done nothing but pant to and from work  Our car has a couple vents in the back seat  but even so it takes a lot to cool that car down As far as my overall impression of the car  I m torn  There s things I like on it  but there s enough that I don t like that I wouldn t buy one  The car is OK  not something you cruise town in and say   quot Hey  look at what I just bought quot  People could care less To get this car to look cool would take new wheels and tires  preferably low profile  and tint  This probably wouldn t look good on the maroon one I m driving though br br  
Camera, I ve always thought that Digital Cameras were one of the most important  147Killer Apps 148 of the technological age  But it has taken until now for the technology to advance enough and produce a product that has the quality and features to truly replace your typical 35mm point and shoot camera  The D510 Zoom from Olympus is a perfect example of such a product Now I ll be honest  I didn t do a whole lot of research before buying my new toy  I knew enough about digital cameras to recognize the features that set them apart  but I had not done any specific research on this camera  But being the gear head I am  when I discovered this gem at a severely reduced clearance price I snatched it up  I knew at that time that Olympus made some very nice cameras in both traditional and digital formats  My impulses on this one seemed to be right on  I have been using the camera for several weeks now  and am incredibly impressed with the convenience a quality digital camera can provide  The camera is a 2 1 Mega pixels  This is basically all the quality you need for almost any application  Pictures for the web turn out great  printed pictures in 4x6 and 5x7 look amazing  you can even stretch it to 8x10 without much of a major impact  1600 x 1200 pictures are produced by most settings  but you can cut down the size to increase the room for pictures  The 3x Optical and 9x Digital is something that is fairly hard to find in a camera in this price range  If your in the camera business  you know that Olympus makes great quality lens  you ll know the a better quality lens will create a better picture  These hold true with the D510  If you do not know the difference between optical and digital zoom  optical is the physical adjustment of the lens to get a closer picture  Digital simply takes the picture then crops and resizes it to the desired zoom  This is only useful if you want a bigger picture and in most cases  the quality is decreased  3X Optical is more then enough for my use  The digital zoom is nice to have but I don t use it much because I can crop if necessary using software on my PC  A beautiful feature Olympus includes is the ability to toggle the use of digital zoom  The zoom button is simply a rocker switch located next to the shutter button  If your using the LCD screen as a view finder  you will notice it will display a visual guide showing how much zoom is currently being applied  This guide also shows when you are making use of digital zoom or just optical zoom  Another small feature  but it illustrates the thought that was put into this design The camera has a host of other features that set it apart from others  USB auto connect gives you an amazing amount of flexibility and allows windows to recognize the camera as an external hard drive and lets your simply drag and drop the files you want  When you combine this with Windows XP s digital camera wizard  you couldn t ask for anything easier  This also allows you to use this camera as a card reader for any of your Smart media cards  Speaking of smart media cards  the camera includes a 8mb card in box  Which allows for just fewer than 20 high quality shots  Turn down the quality slightly and get in upwards of 50 The ability to plug your camera into a video input on a TV is a great addition to the already complete feature set  When your on a trip and don t have the ability to get a hold of a computer for a few minutes to view your pictures  simply plug in the standard RCA output cable and connect it to any TV  An instant slideshow  Olympus was nice enough to include this cable in the package  kudos to you Olympus The Quicktime movie capture feature allows you to take short movie clips  25 seconds long  The length of time and lack of audio capture makes this almost pointless  but I have found that I have used it for recording lab results in various classes at school The D 510 looks great on paper  but how does it perform in the real world Opening the box gives displays various documents including your user manual and software  It has two cables  USB and Video Out  a set of NiMH batteries  a 8mb card  a wristband and the Camera itself  Everything you need to get going is there  although the inclusion of an AC Adapter would have been appreciated The actual camera is somewhat bulky compared to smaller models offered by HP  Canon  and Fuji  The newer D520 shares similar specifications but is almost half the depth of the D510 and does not retain the solid of the D510  The D510 case feels similar to brushed aluminium giving it a professional feel and style  It still fits into a pocket  on my rather large pants  but is better suited to remain in a case in a purse or backpack The pictures that come out of the camera are bright and vivid and I 146ve printed many in a variety of sizes  One of my pictures recently won 2nd place in a photo contest  Picture  Land of the Living Sky available at www barndoorfanclub org gallery twilight twilight html  The variety of shutter speed and aperture settings can be useful for someone with more experience in working with traditional SLRs but I find that letting the camera automatically choose proper settings tends to produce excellent pictures  Having said that  most of my low light pictures turned out less than impressive unless I played with the settings myself  The User Manual includes a great guide on how to take the best pictures in a variety of situations and is worth reading through The software is not very useful  although it does allow you to take a number of shots and digitally  147stitch 148 them together to make a panorama  The results of the stitching function look very professional  I do most of my picture touch ups with JASC Paint Shop Pro  I purchased two things with my camera  A 16mb Smart media card and a small camera case  The 16mb allows me to capture 30 high quality pictures and then the 8mb can be used as a backup  The case protects the camera wherever I go and holds the USB cable and the extra memory card  NiMH rechargeable batteries are on my list of things to pick up  As with most digital cameras  the D510 eats batteries  It is best to keep an extra set with the case as well  The battery life indicator only shows when the batteries are just about to die and will otherwise show a full charge until it 146s too late Reasons to buy    Powerful camera  2 1 MP  3x Optical 9x Digital  These features alone make it a desirable and very functional camera to have  Low cost  The price point I 146ve seen for this camera makes it a viable option for a Christmas present or just as a straight replacement for a 35mm for those new to digital cameras  Impressive picture results  Photos are bright and colourful  perfect for printing with a photo printer or getting professionally printed  It 146s just fun to use  The ability to take a picture of something at a get together  show it on a slideshow later that night  print out a copy for everyone there and then have it posted on a website the next day makes it fun to use Things to watch out for  No camera case  Best to pick one of these guys up  A good one can be had for under  20   Software is Weak  Besides the ability to stitch panorama  the software was relatively weak and only useful as a photo viewer  something that Windows XP does natively quite well  Menu System  Like other reviews  the menus do require some getting used to and I frequently have to refer back to the manual to track down specific features  Some effort could be made to craft a less intimidating system Conclusion The Olympus D510 is a solid performer right of the box  With 2 1 MP and 3x Optical zoom  it is the perfect replacement for a traditional 35mm or SLR user experimenting with the new digital camera technology  Although I do have some complaints about what is included camera and what isn 146t  they are relatively insignificant compared to the quality and usefulness of the camera overall  Out of all the cameras I have tried out before and after the purchase of my D510  I am still impressed with the quality it produces  For the price  the D510 is best of class Update I left my digital camera in my glove box by accident and over the course of two days was involved in some amateur rally racing  Unfortunately I had not left the camera in its case and some of the pixels on the LCD preview screen have gone out  I have not go a hold of Olympus yet but will publish my experiences with technical support as soon as I finalize what is going on  
Camera, Let s begin with what comes out of the box The 4MP Kodak LS443 Camera with built in 16MB memory A docking station A battery AC Adapter USB Cable Let me begin by saying  thanks Kodak for not making us spend 100 extra dollars on things like the AC adapter and batteries which should be included in the first place This is my opinion on the camera  I love it for it s picture quality but I dislike it for not making me feel so great about myself when I take a picture  What does this mean Well  when you see most cameras  the LCD is so crisp you can see if you goofed up the picture when you took it  Therefore  you can quickly erase it and take another snapshot  With the LS443  you take a picture and the display on the screen isn t always all that great so you can t tell if it will be blurry or if there is too much light  Keep this in mind when purchasing the camera  Luckily  the picture quality is so top notch with this camera  I was able to foresee the lack of LCD display As far as the lens is concerned  it is a high end propriety Schneider Kreuznach Variogon lens  There is a 3x optical zoom and 3 3x digital zoom for a total 10x zoom  In case you don t know how the zooms work  this is the difference Optical zoom is a lens change causing a picture to be snapshotted as if you were physically closer to the object you are capturing  This means that the picture is AS GOOD quality as it would be if you were physically near the camera itself Digital zoom is a hardware software approach to  zooming  in on a particular object at a certain distance  This type of zoom causes pixelation and destroys the overall quality of the picture  I don t even bother using digital zoom  I have it turned off  If you are looking to get a camera with great quality and zoom  only look at optical zoom  not digital  If you do look at digital  make sure that the camera is of high megapixels because you will need them when digitally zooming in The autofocus on the camera is great  You hold the button down half way and a little green box on the camera s LCD turns red  This means that the camera is focused and you can depress the button all the way to snapshot the picture  Immediately after that the image is displayed on the screen and you are ready for your next shot Fortunately  Kodak took a huge step is combining the Picture Mode with the Review mode  This means that you can hit the review button at any time in picture mode and it will show you all the pictures stored on the memory card  This helps a lot so you don t have to physically turn the camera into a different mode every time you want to review a picture  There is also an independent Delete and Share button available  That way you can immediately delete a picture if you don t like it  Or you can hit the share button  which will allow you flag the picture to be emailed to a previously set list  via computer software  of possible recipients  As soon as you dock the camera  it will prompt you to email out the pictures you have flagged As far as the modes are concerned on the camera  it contains the following Movie Mode   this is with sound and it also plays back sound  The quality is not so great but you can t expect much from a digital camera  Also  you don t have the ability to zoom in and out during recording since it will make noise and be captured Auto Mode  This mode is great for everyday pictures of people  objects at a reasonable distance  It takes the best picture dependent on the current situation  The autofocus is performed by an independent blue light which shines prior to the snapshot and focuses the camera Sport Mode  This is ideal for objects in motion and will increase the shutter speed thus trying to avoid blurriness Macro Mode  This is for objects that are closer than 28cm  Flash is automatically disabled and this option works great  I ve used it many times  Night Time Mode  This is great for night time when light is readily available  The shutter speed is decreased and hence more light is absorbed  However  this means that even a slight shake in your hand will output a blurry image  Thus you need some sort of tripod when taking these types of pictures Landscape Mode  This sets the lens to infinite focus  There is no redbox greenbox to indicate focus  This mode works fantastic and I ve used it many times to take great pictures of scenery As far as the options are concerned on the camera itself  you have the ability to set it to multiple mode which will take up to 3 shots in a row  Works great for objects in motion  You also have the ability to change the flash type to automatic  always on  red eye reduction or off  Red eye reduction is a little weird since it flashes twice instead of flickering first and then flashing  This means your guests will assume that the picture was taken on the first flash and start to move right at the time the actual picture is taken  Be careful of this and warn them ahead of time The pictures can be taken in color  black and white  or sephia  the olden days look There is control to increase or decrease white exposure  for snowy days or days there is too much or too little light There is the ability to set the quality of the picture  You can make it the full 4 Megapixels  2 2 Megapixels or  1 Megapixel  With a 128MB card  you can take 103 pictures at best quality As far as the cards are concerned  this camera uses a Secure Digital   MultiMedia card  These are generally much more expensive than compact flash or smart media  However  it has 16MB of internal memory which is used once the card is filled  The camera comes with a docking station  When you place the camera on the docking station  it begins to charge and immediately allows you to transfer over pictures to your computer  Charging time is about 2 hours which is much better than the Sony DSC P71 which requires 13 hours  An excellent feature of the camera is that you can physically connect the same AC adapter and same USB that goes into the docking station  right into the side of the camera  This means you can transfer pics to any computer without carrying around the entire docking station  However  take note that the AC adapter  when plugged directly into the camera  will not charge it but will let you take infinite amount of pictures without a battery No matter where you  you will find the AC adapter costs much more and the battery charger is a standalone device  Kodak simplifies our life by including all this in the package Drawbacks of this camera also include the fact that there is no way to check the battery life unless it s dying in which a battery indicator comes on the LCD  Usually you can take about 75 pictures WITH the LCD on and upto 300 pictures with the LCD off  Be prepared to buy an extra battery  These batteries are proprietary and can only be bought in select places  Luckily they are dirt cheap  You can get a battery additional wall charger great for travel  for about 25 dollars if you look around online  One other thing that I would love to have seen would have been an additional text LCD display which showed number of pics remaining  battery indicator and few other required options  This way you wouldn t have to have the LCD on most of the time  However  for the price  you can t expect to have everything I chose this camera because I wanted the quality of the pics to be great  not for just the features  What you are looking for is up to you  Good luck with buying a digicam and I hope you are as satisfied as I was with my purchase  
Auto, Everyone told me not to buy the avenger because I was planning on starting a family and it wouldn t be practical  They were wrong  wrong  wrong I bought the car because it was affordable and sporty but it is much more than that I have had it for three years and the only thing I must warn you about is the front bumper  It is very low and get scratched up really easily  I keep a tube of white car paint to fix it up There is one more disadvantage   the tires and wheel coverings are very expensive to replace Other than that  the only thing I have had to fix were the brakes and that is probably due to my driving habits The seats are very comfortable and easily adjust any way you want them to  The trunk is huge  I fit a large stroller in there and an entire load of groceries  There are two pockets in each door to store things and two storage bins in the middle  There are also two middle cup holders As for the family  I have no problem putting my son into his carseat  I would recommend this car for anyone who wants a sporty vehicle at a good price     
Auto, The Audi allroad quattro  notice the lowercase  is an incredible vehicle that combines the luxury  power  speed  and finesse of a fine German sports sedan with the usability of a street smart SUV After having spent the past 5 years driving a Toyota Corolla I decided to spend a little cash and  upgrade  my vehicle  I needed a vehicle that was large enough to hold all the music equipment I lug around but also one that was zippy enough that I could have fun in while cruising the Florida landscape  I test drove various SUV s from the BMW X5 to the Acura MDX and while they were all nice  they didn t give me the sense of power and speed that I needed  Enter the audi allroad The 250HP 2 6 V6 delivers smooth power no matter which gear and RPM I am in  I ve clocked 0 60 times on it at 6 5 seconds  This car really moves  it beats the other SUV s  hands down  in terms of power and speed  I also love how useful the car is during city driving  The height adjustable suspension allows me to lower the car during high speed and city driving  This gives it a zippier and less truck like feel  However  if I need to go over a median or tree limb or something similar  I raise it to highest level and in a few seconds I have SUV towering height  I recommend this car for anyone looking for a high quality  sports sedan with the practicality of an SUV  The slightly high price gives you complete luxury inside  wood trim  leather  power everything  and Audi has not forgotten anything in their design  The gas mileage is my only complaint with this fine vehicle  With the Corolla I was getting 29 MPG City and now I am averaging 17 18  depending on how I drive  It s cleaner and more efficient than most SUV s but I would recommend you go with a smaller SUV  Like the Toyota RAV4  if you re worried about gas consumption I ve had my allroad for almost two months with zero problems and extreme delight  For me  this vehicle is pure luxury utility speed  It s a perfect match for those looking for a fast  usable vehicle  
Camera, That was the deciding factor for purchasing this camera  I still believe that your camera is only as good as what it can see and that is what the Sony F505V offers  A Carl Zeiss lens with a 5x optical zoom My husband and I have been wanting a new digital camera for a while now  so when we got a nice bonus from his employer  that was it  we were off to the Good Guys to choose between this camera and the Nikon Coolpix 990 Besides the lens  need I say more  we liked the optional memory stick floppy adapter  not included  which makes it easy to download to any computer  It also has AV jacks  cable included  for viewing on your TV or on the road in a hotel room  One of the features  and there are many  we like a lot is the email mode  Along with the resolution you choose for the picture it will also save a small email size picture  Great for the grandparents No one camera out there has all the features that we wanted in a camera  So there are trade offs  We really wanted a real viewfinder  the LCD on the 505V just does not cut it  The glare can be most annoying  the swivel LCD does help a bit as does the LCD adjustable light  The memory stick is nice and small but no real grips on it to get it out of the camera easily The memory stick included with the camera is 8 meg  so it is necessary to buy another  We went with the 64 meg at an extra  140  Ka ching Then another battery is a necessity at  80  Ka ching  ka ching But  I do have a wonderful lens br br  
Auto, Well  I ordered my PT Cruiser 3 1 and finally picked it up 6 21  I absolutely love it  Handles great and has plenty of power for me  I ve never had a speeding ticket before  but probably will with this vehicle  Can t get over the way it corners  Only drawback is a paint problem little white spots all over  that should be taken care of soon  Gas mileage is getting better every day only have 650 mi on it so far  It does attract a lot of attention  Plan on extra time whenever you take it out  because people always stop you and want to see talk about it  Keep the windex handy too for the inevitable nose prints on the windows when you return  Anyone who wants a multipurpose vehicle that stands out will appreciate the PT cruiser Okay  I keep forgetting that not everyone is a PT cruiser nut  Sorry  The PT Cruiser is made by the Daimler Chrysler Corp  and is like nothing else on the market at this time  The styling reminds me of an old Ford sedan i e  the flared fender the roofline  etc It is powered with a 2 4L 4 cylinder 16 valve DOHC engine which has been used in other vehicles  but slightly reconfigured  There have been some complaints about it being sluggish  but I have not found this to be true  It is heavy for it s size a little over 3100 lbs I have had it up to 80 mph and the handling is excellent holds the corners very well  After 650 miles  I am getting 21 mpg in town and 23mpg town highway  Mileage continues to improve with breaking the engine in  Interior is roomy and comfortable I have been watching this vehicle since it was a concept car  I firmly believed that I would never buy a NEW vehicle again  but this one changed my mind  Ordered without having seen one in person only pictures  or even test driving  I have not been disappointed by any means  The biggest drawback now is the demand  which has created a lengthy waiting period between ordering and delivery  The wait is worth it br br  
Camera, This has made some money for me on Ebay  It is excellent for Ebay  it is so easy to use  No extra buttons to push  very user friendly  I have had it for 5 months  it has certainly paid for itself by doing my auctions  I also use it for around the house  my kids love it  They really enjoy looking at themselves right after I take the picutre  It also comes with the software to use it in your computer  Very easy to upload  and very fast too  Once the pictures are taken  it is simple to load in your camera  and then do your thing  either do an auction  or send e mail pictures to your family the ideas are endless This is a great family camera  it is not too expensive  although it is much more than the other cameras  I recommend this to any one trying out their first camera br br  
Camera, After doing research about digital cameras online  I went to Best Buy to try out cameras  My top two choices were a Nikon Coolpix 995 and a Canon Digital Elph  But when I saw the Olympus  I was hooked  I went home  read up on its features  and bought it the same day And what features convinced me  The 10X optical zoom is unparalleled in a camera of the C700 s size and cost  Serious photographers can override any automatic setting  aperture  shutter speed  focus  white balance  and emulated ISO setting  And it works with Linux But nothing s perfect  My biggest complaints are that I had to spend an extra  55 to buy 4 NiMH AA batteries and a 128MB SmartMedia card  The bundled 8MB card only stores 16 pictures at the default settings  Some people may also lament the 2 11 megapixel CCD  many cameras in this price range now have 3 3 mp Some more details This camera is great for anyone from a novice up to a serious amateur  Novices can use the camera as a simple point and shoot and get reasonably good pictures  Serious hobbyists can tinker with the lighting  focus  and white balance and get more interesting pictures in a variety of settings  This is a  having your cake and eating it  too  situation  If you need to take a picture quickly  just hit the shutter button  If you want to get artistic or shoot in unusual lighting  everything s adjustable The user interface makes everything easy to get to  Changing the aperture and shutter speed can be done with one button  Changing the focus takes two  Everything else is in a well laid out two level menu  You can pick three menu settings for top level access The camera takes AA batteries  giving me the choice of Lithium  included  rechargeable  or alkaline in a pinch  I have two sets of rechargeables that I rotate  each lasts several days of normal use The C700 acts as a  USB mass storage  device  which means that it can run with any USB capable OS  including Win98  MacOS  and Linux  The computer treats the camera as an external hard disk and can download 8 MB  16 25 pictures  in about 8 seconds I would very strongly recommend this camera to anyone who wants the flexibility of a digital SLR in a  400  11 oz package One caveat  many of the cheaper vendors are selling either imported grey market cameras  which have no warranty and may not have English language menus  or are selling  bare  cameras without software  cables  batteries  or the 8MB smart card  Make sure you buy the U S  retail box  
Camera, I have used 35mm cameras in the past and some other digital cameras and the Kodak LS443 puts all those other ones to shame  Once you start taking pictures then you will know what I m talking about  When you first download the pictures to your computer  you will be amazed at the picture quality and how vibrant the colors look  Also the camera comes with the docking station that makes the transfer of pictures very fast and easy Now for the review b  Picture quality and memory   First off  the picture quality  The camera has three settings for picture quality  At the highest setting the pictures are very close to what a regular 35mm film camera would do  Also at this setting you can get some great 4 by 6 or 8 by 10 prints  The specifications say you can get up to 20 by 30 prints but I have not tried those  I think the recommended size is up to 11 by 14  With those three sizes this camera is perfect for most users  The highest setting of the camera is 4 mega pixels  the second setting is 2 2 mega pixels and the last setting is 1 mega pixel  I mostly used the 4 Mp setting when taking most of my pictures but I have used the 1 Mp setting when I want to send emails to people  At the highest setting the pictures are about 1 megabyte in size so I would recommend buying a memory card of at least 128 MB  I personally bought a 256 MB card and with that I can take over 200 pictures at the highest quality setting and about nineteen minutes of video in movie mode  The difference in price between the 128 and the 256 MB card is not that much  The actual specifications on how many pictures you can take depending on the card size can be seen at the Kodak site b  Controls   In some reviews that I read some people have said that the shutter button is spongy and it is hard to control  This was not the case with me  To get the camera to take the best pictures possible  you would hold down the shutter button half way and then the camera would automatically set the focus and the flash settings  When it does that then you just press the shutter button all the way down to take the picture  Some people said that it takes a long time to auto focus but this is not the case  The camera is ready to take the picture quite quickly The zoom is quite good  I just recommend that you don t use the digital aspect of it  only the optical  I took a few pictures using the digital zoom and the picture quality dropped off somewhat The camera operates in several modes  The only one that I haven t used yet is the night mode so I cannot comment on it but all the other modes do exactly what they say they can do  For example  my little nephew was running around  so I put the camera in sport mode and the pictures came out great  Very focused with no blurring  This is another thing that other people have complained about and I don t see why  That is why the camera has all these different modes  so you can get the best pictures during different situations The camera also has a lot of manual controls for setting up the exposure  white balance  where to focus  ISO and other things so there is a lot of stuff that novice picture takers can play around with  Most of the time I have the camera set in automatic mode  but to get all the other features to work right you just have to experiment and take pictures in different conditions to see what works best  The manual guide of the camera explains each function pretty well so you can pick up all the features pretty quickly Every time you switch to a new mode  there is a quick explanation of what it does so this makes the camera very easy to operate b  LCD   One of the cons of this camera is the LCD  First of all the picture quality in the LCD is not good at all  When I took a few pictures I thought they were all coming out bad when I viewed them using the review feature of the camera  The photos don t look clear and the colors look a bit off  That is a different case when you see the pictures on a computer  Then you can really see what the camera can do  Also  I was taking some pictures outdoors  and you can barely see the image on the LCD screen  Also at night you can t see anything on the screen  It would have been nice if they would have added controls to the LCD screen to change the contrast or the brightness to adjust to these conditions  These drawbacks are not that bad and can be overlooked because of the picture quality of the camera  
Auto, WHAT A GREAT CAR   quot The Base prices for the BMW 5 Series have not changed from the previous year  in fact BMW has added a few standard features to each of the models to improve their overall value  The Dynamic Stability Control System is now a standard feature on the 528i models  Metallic paint is now a no charge option on the 528i as well  The 540i now comes with standard Xenon headlights and Rain Sensor Wipers  All 5 Series models have available sport packages which come with sport suspension  performance tires  upgraded wheels and the M Sport steering wheel  Another option on the BMW 5 Series is the GPS Navigation System  which includes an Onboard Computer  Emergency Call System  Geographic Disc and Automatic Ventilation System quot br br  
Camera, This is an excellent camera technically  however recent experiences I have encountered have led me to change my mind  The only problem is that there are only a few models available in the market in this category  Please see my previous review It ranks high in lens quality  performance  ease of use  and manual override capabilities The lack of a swivel LCD screen is very sadly omitted by Minolta  The ability to switch between manual and automatic focus by accidentally touching the button is a poor design feature as is the placement of the neck strap ring over the CF door The unadvertised APO shutdown feature is really a sad feature  Minolta should really look into this and either remove it or advertise it so that you are not caught using it while deleting an image at the same time  The end result for me was the corruption of all my images in my CF card  which caused me to spend   to recapture the lost images  The attitude received in the repair department was a real shocker to me  I have never encountered this in my life as a consumer  At Canon I have always been treated as a consumer with respect and professionalism  As a result I will never buy another one of their products in the future  
